Sample	Unique Reads	Duplicate Reads
Soil-P4S4-b_S104.ITS1.R1	3198.0	14105.0
Soil-P4S4-b_S104.ITS1.R2	7645.0	9658.0
Soil-P4S4-c_S110.ITS1.R1	3033.0	12272.0
Soil-P4S4-c_S110.ITS1.R2	6901.0	8404.0
Soil-P5S1-a_S116.ITS1.R1	2994.0	12682.0
Soil-P5S1-a_S116.ITS1.R2	6948.0	8728.0
Soil-P5S1-b_S122.ITS1.R1	2967.0	12591.0
Soil-P5S1-b_S122.ITS1.R2	6950.0	8608.0
Soil-P5S1-c_S128.ITS1.R1	2903.0	11095.0
Soil-P5S1-c_S128.ITS1.R2	6583.0	7415.0
Soil-P5S2-a_S134.ITS1.R1	3113.0	14065.0
Soil-P5S2-a_S134.ITS1.R2	7127.0	10051.0
Soil-P5S2-b_S140.ITS1.R1	3482.0	13529.0
Soil-P5S2-b_S140.ITS1.R2	7597.0	9414.0
Soil-P5S2-c_S146.ITS1.R1	3405.0	14000.0
Soil-P5S2-c_S146.ITS1.R2	7715.0	9690.0
Soil-P6S1-a_S152.ITS1.R1	3170.0	11600.0
Soil-P6S1-a_S152.ITS1.R2	7110.0	7660.0
Soil-P6S1-b_S158.ITS1.R1	3083.0	11875.0
Soil-P6S1-b_S158.ITS1.R2	7444.0	7514.0
Soil-P6S1-c_S163.ITS1.R1	3917.0	16496.0
Soil-P6S1-c_S163.ITS1.R2	9621.0	10792.0
Soil-P6S2-a_S99.ITS1.R1	2899.0	13837.0
Soil-P6S2-a_S99.ITS1.R2	7563.0	9173.0
Soil-P6S2-b_S105.ITS1.R1	3159.0	13911.0
Soil-P6S2-b_S105.ITS1.R2	7423.0	9647.0
Soil-P6S2-c_S111.ITS1.R1	2767.0	11540.0
Soil-P6S2-c_S111.ITS1.R2	6151.0	8156.0
Soil-P6S3-a_S117.ITS1.R1	3043.0	13264.0
Soil-P6S3-a_S117.ITS1.R2	7409.0	8898.0
Soil-P6S3-b_S123.ITS1.R1	2690.0	11134.0
Soil-P6S3-b_S123.ITS1.R2	6198.0	7626.0
Soil-P6S3-c_S129.ITS1.R1	3252.0	13648.0
Soil-P6S3-c_S129.ITS1.R2	7658.0	9242.0
Soil-P7S1-a_S135.ITS1.R1	3382.0	17038.0
Soil-P7S1-a_S135.ITS1.R2	8534.0	11886.0
Soil-P7S1-b_S141.ITS1.R1	2957.0	14591.0
Soil-P7S1-b_S141.ITS1.R2	7464.0	10084.0
Soil-P7S1-c_S147.ITS1.R1	3284.0	17019.0
Soil-P7S1-c_S147.ITS1.R2	8192.0	12111.0
Soil-P7S2-a_S153.ITS1.R1	2669.0	10927.0
Soil-P7S2-a_S153.ITS1.R2	6572.0	7024.0
Soil-P7S2-b_S159.ITS1.R1	3174.0	13177.0
Soil-P7S2-b_S159.ITS1.R2	7990.0	8361.0
Soil-P7S2-c_S164.ITS1.R1	3581.0	16605.0
Soil-P7S2-c_S164.ITS1.R2	9445.0	10741.0
Soil-P7S3-a_S100.ITS1.R1	2321.0	10092.0
Soil-P7S3-a_S100.ITS1.R2	6311.0	6102.0
Soil-P7S3-b_S106.ITS1.R1	2339.0	10500.0
Soil-P7S3-b_S106.ITS1.R2	6065.0	6774.0
Soil-P7S3-c_S112.ITS1.R1	3126.0	13587.0
Soil-P7S3-c_S112.ITS1.R2	7546.0	9167.0
Soil-P7S4-a_S118.ITS1.R1	2910.0	13278.0
Soil-P7S4-a_S118.ITS1.R2	7388.0	8800.0
Soil-P7S4-b_S124.ITS1.R1	2863.0	15163.0
Soil-P7S4-b_S124.ITS1.R2	7491.0	10535.0
Soil-P7S4-c_S130.ITS1.R1	3385.0	16735.0
Soil-P7S4-c_S130.ITS1.R2	9265.0	10855.0
