Sample	Unique Reads	Duplicate Reads
Soil-P6S2-c_S111.16S.R2	9905.0	17636.0
Soil-P6S3-a_S117.16S.R1	5576.0	19879.0
Soil-P6S3-a_S117.16S.R2	8226.0	17229.0
Soil-P6S3-b_S123.16S.R1	5959.0	19146.0
Soil-P6S3-b_S123.16S.R2	8500.0	16605.0
Soil-P6S3-c_S129.16S.R1	5664.0	19641.0
Soil-P6S3-c_S129.16S.R2	8668.0	16637.0
Soil-P7S1-a_S135.16S.R1	7798.0	21314.0
Soil-P7S1-a_S135.16S.R2	10495.0	18617.0
Soil-P7S1-b_S141.16S.R1	6470.0	17047.0
Soil-P7S1-b_S141.16S.R2	8941.0	14576.0
Soil-P7S1-c_S147.16S.R1	7807.0	20448.0
Soil-P7S1-c_S147.16S.R2	10550.0	17705.0
Soil-P7S2-a_S153.16S.R1	7668.0	22939.0
Soil-P7S2-a_S153.16S.R2	10702.0	19905.0
Soil-P7S2-b_S159.16S.R1	6257.0	18159.0
Soil-P7S2-b_S159.16S.R2	8873.0	15543.0
Soil-P7S2-c_S164.16S.R1	6291.0	18451.0
Soil-P7S2-c_S164.16S.R2	9201.0	15541.0
Soil-P7S3-a_S100.16S.R1	6218.0	18383.0
Soil-P7S3-a_S100.16S.R2	10274.0	14327.0
Soil-P7S3-b_S106.16S.R1	6540.0	19002.0
Soil-P7S3-b_S106.16S.R2	9487.0	16055.0
Soil-P7S3-c_S112.16S.R1	6892.0	19548.0
Soil-P7S3-c_S112.16S.R2	9922.0	16518.0
Soil-P7S4-a_S118.16S.R1	6399.0	18660.0
Soil-P7S4-a_S118.16S.R2	9560.0	15499.0
Soil-P7S4-b_S124.16S.R1	6011.0	15914.0
Soil-P7S4-b_S124.16S.R2	8583.0	13342.0
Soil-P7S4-c_S130.16S.R1	6132.0	15630.0
Soil-P7S4-c_S130.16S.R2	8715.0	13047.0
