index,Unassigned;__;__;__,k__Fungi;__;__;__,k__Fungi;p__Ascomycota;__;__,k__Fungi;p__Ascomycota;c__Dothideomycetes;__,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Minutisphaerales,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Myriangiales,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales,k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales,k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales,k__Fungi;p__Ascomycota;c__Sordariomycetes;__,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Branch06,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Melanosporales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Myrmecridiales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Phomatosporales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales,k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales,k__Fungi;p__Basidiomycota;__;__,k__Fungi;p__Basidiomycota;c__Agaricomycetes;__,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes;o__Geminibasidiales,k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;__,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryomycetes_ord_Incertae_sedis,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__unidentified,k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__unidentified,k__Fungi;p__Basidiomycota;c__Tremellomycetes;__,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Holtermanniales,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__unidentified,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales,k__Fungi;p__Basidiomycota;c__unidentified;o__unidentified,k__Fungi;p__Chytridiomycota;__;__,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__unidentified,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes;o__Rhizophlyctidales,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales,k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales,k__Fungi;p__Chytridiomycota;c__unidentified;o__unidentified,k__Fungi;p__Entomophthoromycota;c__Basidiobolomycetes;o__Basidiobolales,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes;o__Kickxellales,k__Fungi;p__Mortierellomycota;__;__,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales,k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS11,k__Fungi;p__Rozellomycota;c__unidentified;o__unidentified,k__Fungi;p__unidentified;c__unidentified;o__unidentified,k__Rhizaria;p__Cercozoa;c__unidentified;o__unidentified,Category,sample,host,plot,MLG
Germ_P4S1_ACN_c,3.0,128.0,0.0,0.0,162.0,6.0,0.0,0.0,1239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,17.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Germ_P6S1_ACN_a,0.0,141.0,0.0,0.0,12.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,7459.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,0.0,Germ,P6S1,hemp,P6,MLG12
Seed_P4S4_a,0.0,0.0,0.0,0.0,1339.0,0.0,0.0,0.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1201.0,4210.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,6.0,59.0,0.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P4S4,tobacco,P4,MLG4
Soil_P2S1_b,0.0,384.0,20.0,5.0,139.0,0.0,0.0,0.0,1751.0,0.0,0.0,2.0,19.0,0.0,0.0,105.0,45.0,0.0,8.0,0.0,209.0,0.0,0.0,0.0,0.0,458.0,2518.0,0.0,25.0,0.0,0.0,359.0,0.0,56.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,52.0,308.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,1406.0,0.0,0.0,0.0,0.0,354.0,0.0,Soil,P2S1,oIlseed_rape,P2,MLG15
Germ_P6S1_Colza_myro_b,0.0,93.0,0.0,0.0,31.0,0.0,0.0,0.0,951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,1988.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,12.0,Germ,P6S1,hemp,P6,MLG12
Seed_P3S5_c,0.0,114.0,0.0,0.0,4107.0,8.0,0.0,0.0,954.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,2516.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,81.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,Seed,P3S5,tobacco,P3,MLG5
Germ_P4S1_Chanvre_c,38.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,1836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,1246.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396.0,10.0,Germ,P4S1,tobacco,P4,MLG1
Soil_P5S2_b,0.0,292.0,9.0,0.0,1333.0,0.0,0.0,0.0,727.0,0.0,0.0,0.0,13.0,0.0,0.0,102.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,812.0,1718.0,0.0,0.0,0.0,0.0,184.0,0.0,127.0,0.0,18.0,14.0,15.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,8.0,0.0,5.0,31.0,20.0,66.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,36.0,0.0,65.0,0.0,602.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,45.0,0.0,109.0,0.0,0.0,988.0,12.0,Soil,P5S2,tobacco,P5,MLG9
Seed_P4S1_c,0.0,8.0,0.0,0.0,2555.0,0.0,0.0,0.0,1554.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,1205.0,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,4.0,70.0,0.0,737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P4S1,tobacco,P4,MLG1
Germ_P2S2_Colza_b,0.0,158.0,4.0,0.0,92.0,3.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,1575.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953.0,712.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Soil_P2S1_c,0.0,72.0,0.0,0.0,588.0,0.0,0.0,0.0,1527.0,0.0,0.0,9.0,46.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,29.0,0.0,0.0,0.0,0.0,916.0,1697.0,0.0,0.0,0.0,0.0,31.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,12.0,21.0,0.0,0.0,25.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1158.0,0.0,Soil,P2S1,oIlseed_rape,P2,MLG15
Soil_P2S2_a,0.0,310.0,0.0,9.0,47.0,0.0,0.0,0.0,695.0,0.0,0.0,3.0,10.0,0.0,0.0,50.0,7.0,0.0,7.0,0.0,90.0,0.0,0.0,0.0,0.0,2522.0,1988.0,0.0,24.0,0.0,0.0,230.0,0.0,231.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,130.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,11.0,767.0,0.0,0.0,0.0,0.0,277.0,2.0,Soil,P2S2,oIlseed_rape,P2,MLG17
Soil_P4S4_b,12.0,76.0,0.0,0.0,400.0,0.0,0.0,0.0,559.0,0.0,0.0,16.0,14.0,0.0,2.0,17.0,0.0,0.0,0.0,7.0,65.0,0.0,0.0,0.0,0.0,1794.0,2567.0,0.0,17.0,11.0,0.0,909.0,0.0,121.0,0.0,14.0,7.0,16.0,7.0,3.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,16.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,45.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,44.0,0.0,0.0,522.0,10.0,Soil,P4S4,tobacco,P4,MLG4
Soil_P2S4_c,0.0,144.0,4.0,8.0,233.0,0.0,0.0,0.0,3549.0,0.0,0.0,14.0,6.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,1841.0,1832.0,0.0,90.0,0.0,0.0,145.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,76.0,193.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,33.0,533.0,0.0,0.0,0.0,0.0,721.0,0.0,Soil,P2S4,oIlseed_rape,P2,MLG17
Seed_Pram_120_a,0.0,59.0,0.0,0.0,1574.0,0.0,0.0,0.0,681.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4799.0,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,698.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,Pram_120,oIlseed_rape,P0,NA
Germ_P2S2_GR24_c,37.0,845.0,0.0,0.0,72.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728.0,1226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,474.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,737.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Soil_P6S1_b,0.0,134.0,0.0,0.0,226.0,0.0,0.0,0.0,961.0,0.0,0.0,21.0,44.0,0.0,0.0,41.0,7.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,8.0,685.0,1639.0,0.0,0.0,33.0,0.0,210.0,0.0,375.0,7.0,0.0,0.0,39.0,0.0,0.0,0.0,33.0,0.0,0.0,6.0,9.0,0.0,0.0,30.0,21.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,10.0,0.0,57.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,589.0,20.0,Soil,P6S1,hemp,P6,MLG12
Soil_P6S1_c,0.0,89.0,0.0,0.0,466.0,0.0,0.0,0.0,1668.0,0.0,0.0,34.0,65.0,0.0,0.0,78.0,17.0,0.0,11.0,0.0,15.0,0.0,0.0,0.0,90.0,955.0,2138.0,0.0,0.0,5.0,0.0,297.0,0.0,650.0,0.0,18.0,27.0,36.0,0.0,0.0,0.0,187.0,0.0,6.0,54.0,0.0,0.0,0.0,68.0,4.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,137.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,743.0,6.0,Soil,P6S1,hemp,P6,MLG12
Germ_Control_c,0.0,1303.0,0.0,0.0,1067.0,0.0,0.0,0.0,1350.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,1229.0,1972.0,0.0,0.0,0.0,0.0,282.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,175.0,0.0,Germ,Control,NA,NA,NA
Germ_P2S2_GR24_a,0.0,374.0,0.0,0.0,39.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,941.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Germ_P4S1_Colza_b,40.0,68.0,0.0,0.0,129.0,0.0,0.0,0.0,1507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,612.0,2463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,20.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Seed_P3S2_b,0.0,27.0,0.0,0.0,4641.0,0.0,0.0,0.0,2282.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,328.0,1123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,83.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,Seed,P3S2,tobacco,P3,MLG7
Seed_H2O_a,0.0,0.0,0.0,175.0,2528.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0,786.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,56.0,28.0,610.0,0.0,0.0,739.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,176.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,H2O,NA,NA,NA
Soil_P5S2_a,0.0,17.0,6.0,0.0,2697.0,0.0,0.0,0.0,502.0,0.0,0.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,804.0,1780.0,0.0,0.0,0.0,0.0,141.0,0.0,65.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,42.0,0.0,765.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,68.0,0.0,8.0,0.0,0.0,1027.0,6.0,Soil,P5S2,tobacco,P5,MLG9
Soil_P7S4_b,0.0,493.0,2.0,4.0,697.0,0.0,3.0,0.0,828.0,0.0,0.0,7.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3188.0,1627.0,0.0,0.0,0.0,0.0,124.0,0.0,117.0,0.0,4.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1216.0,0.0,11.0,0.0,0.0,146.0,0.0,Soil,P7S4,hemp,P7,MLG14
Seed_P1S2_c,0.0,89.0,57.0,0.0,2701.0,0.0,0.0,0.0,1052.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2072.0,1459.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,435.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,Seed,P1S2,oIlseed_rape,P1,MLG17
Seed_P5S2_b,0.0,13.0,0.0,0.0,3668.0,0.0,0.0,0.0,993.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,639.0,2648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,90.0,0.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P5S2,tobacco,P5,MLG9
Germ_P4S1_Colza_myro_c,9.0,90.0,11.0,0.0,25.0,0.0,0.0,0.0,2413.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Seed_Control_a,0.0,0.0,0.0,0.0,4999.0,0.0,0.0,0.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3208.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1860.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,Control,NA,NA,NA
