index,Unassigned;__;__,k__Fungi;__;__,k__Fungi;p__Ascomycota;__,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__Ascomycota;c__Taphrinomycetes,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Basidiomycota;c__Malasseziomycetes,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Basidiomycota;c__unidentified,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Chytridiomycota;c__unidentified,k__Fungi;p__Entomophthoromycota;c__Basidiobolomycetes,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes,k__Fungi;p__Mortierellomycota;__,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Rozellomycota;c__unidentified,k__Fungi;p__unidentified;c__unidentified,k__Rhizaria;p__Cercozoa;c__unidentified,Category,sample,host,plot,MLG
Germ_P4S1_Chanvre_a,30.0,8.0,0.0,1697.0,0.0,0.0,0.0,0.0,0.0,1653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Soil_P3S3_a,0.0,85.0,34.0,996.0,2.0,138.0,0.0,0.0,0.0,5357.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,1933.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,17.0,0.0,0.0,0.0,0.0,656.0,0.0,0.0,0.0,0.0,118.0,6.0,Soil,P3S3,tobacco,P3,MLG7
Germ_P6S1_Chanvre_c,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,2266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,7.0,Germ,P6S1,hemp,P6,MLG12
Seed_P3S4_c,0.0,54.0,0.0,7418.0,4.0,4.0,0.0,0.0,0.0,2166.0,0.0,12.0,112.0,0.0,0.0,0.0,0.0,8.0,0.0,1288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,Seed,P3S4,tobacco,P3,MLG7
Seed_P6S1_a,0.0,156.0,0.0,2406.0,0.0,0.0,0.0,0.0,0.0,7502.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P6S1,hemp,P6,MLG12
Soil_P2S4_b,0.0,221.0,7.0,1490.0,3.0,101.0,0.0,0.0,0.0,5488.0,0.0,0.0,9.0,0.0,18.0,14.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,2.0,0.0,0.0,0.0,10.0,692.0,0.0,0.0,0.0,0.0,181.0,0.0,Soil,P2S4,oIlseed_rape,P2,MLG17
Soil_P6S3_c,0.0,193.0,7.0,1258.0,75.0,53.0,0.0,22.0,0.0,4427.0,0.0,0.0,207.0,0.0,94.0,0.0,2.0,4.0,0.0,207.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,10.0,416.0,12.0,Soil,P6S3,hemp,P6,MLG10
Germ_P3S2_Colza_myro_a,0.0,0.0,0.0,3732.0,8.0,0.0,0.0,0.0,0.0,3566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1261.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Seed_P7S1_b,0.0,964.0,0.0,1880.0,7.0,0.0,0.0,0.0,0.0,5787.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P7S1,hemp,P7,MLG13
Germ_P6S1_Colza_c,0.0,407.0,0.0,475.0,0.0,0.0,0.0,0.0,0.0,5661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,13.0,Germ,P6S1,hemp,P6,MLG12
Soil_P5S1_b,15.0,184.0,0.0,2758.0,9.0,32.0,0.0,45.0,0.0,2439.0,0.0,8.0,17.0,0.0,9.0,0.0,0.0,22.0,0.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,183.0,18.0,Soil,P5S1,tobacco,P5,MLG8
Germ_P6S1_ACN_b,0.0,800.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,6092.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,777.0,5.0,Germ,P6S1,hemp,P6,MLG12
Germ_P2S2_Chanvre_c,0.0,185.0,0.0,207.0,2.0,0.0,0.0,0.0,0.0,3356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,171.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,677.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Soil_P3S3_b,0.0,492.0,35.0,589.0,17.0,112.0,0.0,0.0,0.0,5515.0,0.0,28.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1023.0,0.0,0.0,0.0,0.0,9.0,0.0,Soil,P3S3,tobacco,P3,MLG7
Seed_P1S1_c,0.0,153.0,55.0,3938.0,0.0,30.0,0.0,0.0,0.0,5200.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,Seed,P1S1,oIlseed_rape,P1,MLG17
Seed_P1S4_a,0.0,178.0,7.0,4846.0,0.0,6.0,0.0,0.0,0.0,4557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,Seed,P1S4,oIlseed_rape,P1,MLG17
Soil_P4S2_a,0.0,83.0,0.0,975.0,18.0,63.0,0.0,4.0,0.0,4391.0,0.0,8.0,173.0,0.0,6.0,0.0,0.0,4.0,0.0,547.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,60.0,0.0,521.0,0.0,0.0,664.0,132.0,Soil,P4S2,tobacco,P4,MLG2
Seed_Mock_a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,Mock,NA,NA,NA
Seed_P6S2_a,0.0,80.0,3.0,2167.0,0.0,0.0,0.0,0.0,0.0,7142.0,0.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Seed,P6S2,hemp,P6,MLG11
Seed_P7S3_b,0.0,186.0,0.0,2572.0,0.0,4.0,0.0,0.0,0.0,5294.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P7S3,hemp,P7,MLG14
Soil_P2S3_c,0.0,703.0,0.0,1535.0,35.0,79.0,0.0,0.0,0.0,3093.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,19.0,35.0,0.0,0.0,0.0,0.0,0.0,434.0,1299.0,0.0,0.0,0.0,30.0,232.0,0.0,Soil,P2S3,oIlseed_rape,P2,MLG17
Seed_P2S4_a,0.0,78.0,0.0,3483.0,0.0,7.0,0.0,0.0,0.0,7785.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Seed,P2S4,oIlseed_rape,P2,MLG17
Soil_P3S1_c,0.0,68.0,6.0,928.0,18.0,73.0,2.0,12.0,0.0,3599.0,0.0,0.0,770.0,0.0,0.0,0.0,0.0,9.0,0.0,1705.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,31.0,0.0,0.0,0.0,0.0,809.0,0.0,0.0,0.0,0.0,26.0,0.0,Soil,P3S1,tobacco,P3,MLG6
Seed_P1S1_a,0.0,116.0,49.0,5036.0,0.0,14.0,0.0,0.0,0.0,4719.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,Seed,P1S1,oIlseed_rape,P1,MLG17
Soil_P6S1_a,0.0,73.0,0.0,1663.0,119.0,30.0,0.0,0.0,0.0,2676.0,0.0,0.0,381.0,6.0,131.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,669.0,0.0,Soil,P6S1,hemp,P6,MLG12
Germ_P4S1_GR24_c,26.0,345.0,0.0,1764.0,0.0,0.0,0.0,0.0,0.0,1899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,4.0,Germ,P4S1,tobacco,P4,MLG1
Soil_P7S4_a,0.0,778.0,0.0,1664.0,17.0,57.0,0.0,0.0,0.0,3245.0,0.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,0.0,0.0,0.0,135.0,2.0,Soil,P7S4,hemp,P7,MLG14
Seed_PBS_b,0.0,136.0,0.0,3027.0,9.0,41.0,0.0,0.0,0.0,3238.0,0.0,0.0,699.0,0.0,0.0,0.0,80.0,50.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,40.0,0.0,Seed,PBS,NA,NA,NA
Germ_Control_a,0.0,607.0,0.0,1508.0,0.0,122.0,0.0,0.0,0.0,2973.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,Germ,Control,NA,NA,NA
Seed_P3S3_c,0.0,109.0,6.0,8380.0,25.0,9.0,0.0,0.0,0.0,2058.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,Seed,P3S3,tobacco,P3,MLG7
Soil_P4S3_c,0.0,56.0,7.0,1956.0,62.0,48.0,0.0,0.0,15.0,4761.0,0.0,9.0,307.0,0.0,183.0,0.0,0.0,26.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,11.0,0.0,0.0,0.0,0.0,55.0,0.0,92.0,0.0,0.0,707.0,11.0,Soil,P4S3,tobacco,P4,MLG3
Seed_Pram_120_b,0.0,58.0,0.0,1949.0,0.0,14.0,0.0,0.0,0.0,5193.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,Pram_120,oIlseed_rape,P0,NA
Seed_P6S3_c,0.0,4.0,0.0,1258.0,0.0,11.0,0.0,0.0,0.0,6292.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,Seed,P6S3,hemp,P6,MLG10
Soil_P5S1_a,0.0,92.0,3.0,2532.0,11.0,13.0,0.0,49.0,0.0,2692.0,0.0,29.0,22.0,3.0,39.0,0.0,0.0,10.0,0.0,1004.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,275.0,20.0,Soil,P5S1,tobacco,P5,MLG8
Germ_P6S1_ACN_c,0.0,723.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,5790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.0,7.0,Germ,P6S1,hemp,P6,MLG12
Seed_P1S1_b,0.0,65.0,38.0,4146.0,0.0,11.0,0.0,0.0,0.0,3848.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,Seed,P1S1,oIlseed_rape,P1,MLG17
Seed_P4S3_c,0.0,5.0,0.0,2301.0,0.0,29.0,0.0,0.0,0.0,9259.0,0.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P4S3,tobacco,P4,MLG3
Soil_P3S3_c,0.0,74.0,0.0,1284.0,12.0,64.0,0.0,0.0,0.0,1994.0,0.0,23.0,233.0,19.0,70.0,0.0,0.0,19.0,0.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,1611.0,9.0,Soil,P3S3,tobacco,P3,MLG7
Germ_P3S2_GR24_a,13.0,5.0,0.0,2164.0,8.0,0.0,0.0,0.0,0.0,1095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2191.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Seed_P1S4_b,0.0,196.0,0.0,4774.0,0.0,2.0,0.0,0.0,0.0,4786.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,785.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,Seed,P1S4,oIlseed_rape,P1,MLG17
Seed_P5S2_c,0.0,3.0,0.0,4552.0,0.0,0.0,0.0,0.0,0.0,3604.0,0.0,13.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P5S2,tobacco,P5,MLG9
Germ_P4S1_GR24_b,413.0,76.0,12.0,1468.0,0.0,0.0,0.0,0.0,0.0,3812.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2312.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Germ_P3S2_Chanvre_b,16.0,0.0,0.0,2225.0,6.0,0.0,0.0,0.0,0.0,2959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,8.0,Germ,P3S2,tobacco,P3,MLG7
Seed_P1S3_b,0.0,103.0,17.0,5154.0,0.0,10.0,0.0,2.0,0.0,6094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,Seed,P1S3,oIlseed_rape,P1,MLG16
Seed_Pram_120_d_a,0.0,329.0,0.0,2975.0,65.0,112.0,0.0,0.0,404.0,2560.0,0.0,0.0,2555.0,0.0,0.0,0.0,189.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,Pram_120_d,oIlseed_rape,P0,NA
Soil_P4S4_c,3.0,77.0,0.0,601.0,0.0,6.0,0.0,14.0,0.0,4602.0,0.0,22.0,365.0,0.0,33.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,46.0,0.0,0.0,446.0,18.0,Soil,P4S4,tobacco,P4,MLG4
Soil_P7S1_c,0.0,161.0,0.0,1159.0,43.0,21.0,0.0,0.0,0.0,3705.0,0.0,26.0,67.0,3.0,0.0,0.0,0.0,10.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4164.0,0.0,0.0,0.0,0.0,376.0,0.0,Soil,P7S1,hemp,P7,MLG13
Soil_P2S3_b,0.0,620.0,0.0,1122.0,75.0,109.0,0.0,0.0,0.0,3337.0,0.0,2.0,32.0,3.0,7.0,8.0,0.0,8.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1225.0,986.0,0.0,0.0,0.0,5.0,359.0,0.0,Soil,P2S3,oIlseed_rape,P2,MLG17
Seed_P3S4_a,0.0,20.0,0.0,6110.0,0.0,0.0,0.0,0.0,0.0,1569.0,0.0,8.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,Seed,P3S4,tobacco,P3,MLG7
Germ_P6S1_Chanvre_b,0.0,167.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,6692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,15.0,Germ,P6S1,hemp,P6,MLG12
Soil_P3S4_b,2.0,77.0,41.0,729.0,12.0,72.0,0.0,0.0,0.0,3997.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,1608.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,0.0,0.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,150.0,0.0,Soil,P3S4,tobacco,P3,MLG7
Germ_P3S2_GR24_c,0.0,8.0,0.0,4349.0,0.0,0.0,0.0,0.0,0.0,3073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Soil_P3S1_b,0.0,86.0,0.0,649.0,15.0,109.0,0.0,23.0,0.0,3962.0,0.0,0.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,1414.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,666.0,0.0,0.0,0.0,0.0,94.0,17.0,Soil,P3S1,tobacco,P3,MLG6
Soil_P3S4_a,0.0,254.0,0.0,1288.0,14.0,90.0,0.0,28.0,0.0,4122.0,0.0,25.0,217.0,0.0,36.0,0.0,0.0,5.0,0.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,344.0,32.0,Soil,P3S4,tobacco,P3,MLG7
Seed_P5S1_a,0.0,3.0,0.0,5089.0,0.0,6.0,0.0,0.0,0.0,3027.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P5S1,tobacco,P5,MLG8
Soil_P4S1_c,3.0,90.0,0.0,1773.0,4.0,57.0,4.0,8.0,0.0,3671.0,0.0,24.0,129.0,2.0,40.0,0.0,0.0,0.0,0.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,9.0,0.0,0.0,359.0,8.0,Soil,P4S1,tobacco,P4,MLG1
Seed_H2O_b,0.0,0.0,0.0,2618.0,45.0,0.0,0.0,672.0,0.0,2315.0,0.0,64.0,2150.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,H2O,NA,NA,NA
Seed_P1S4_c,0.0,169.0,18.0,4886.0,0.0,5.0,0.0,2.0,0.0,3968.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,877.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,Seed,P1S4,oIlseed_rape,P1,MLG17
Seed_P3S1_a,0.0,62.0,0.0,7074.0,19.0,7.0,0.0,0.0,0.0,1608.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,Seed,P3S1,tobacco,P3,MLG6
Seed_P4S4_c,0.0,0.0,0.0,2325.0,0.0,0.0,0.0,0.0,0.0,5692.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P4S4,tobacco,P4,MLG4
Soil_P4S3_b,4.0,119.0,0.0,1360.0,26.0,16.0,0.0,0.0,0.0,4148.0,0.0,11.0,244.0,0.0,84.0,0.0,0.0,7.0,0.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,37.0,0.0,575.0,0.0,0.0,971.0,25.0,Soil,P4S3,tobacco,P4,MLG3
Soil_P3S5_a,0.0,95.0,41.0,478.0,13.0,66.0,0.0,17.0,0.0,1202.0,0.0,20.0,67.0,0.0,0.0,7.0,0.0,14.0,0.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,2.0,261.0,11.0,Soil,P3S5,tobacco,P3,MLG5
Seed_P7S2_c,0.0,0.0,0.0,2342.0,6.0,18.0,0.0,0.0,0.0,7187.0,0.0,28.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P7S2,hemp,P7,MLG13
Germ_P2S2_Tabac_a,0.0,188.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,2604.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1646.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Seed_P7S2_b,0.0,716.0,0.0,2139.0,4.0,10.0,0.0,0.0,0.0,5751.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P7S2,hemp,P7,MLG13
Seed_P6S3_a,0.0,797.0,0.0,6275.0,0.0,13.0,0.0,10.0,0.0,22191.0,0.0,17.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,46.0,0.0,Seed,P6S3,hemp,P6,MLG10
Soil_P7S3_c,0.0,994.0,0.0,1447.0,19.0,520.0,0.0,146.0,0.0,2855.0,0.0,14.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,916.0,0.0,0.0,0.0,0.0,403.0,10.0,Soil,P7S3,hemp,P7,MLG14
